"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","accord -2.22044604925031e-16","action -2.22044604925031e-16","advise -2.22044604925031e-16","afternoon -2.22044604925031e-16","aid -2.22044604925031e-16","air -2.22044604925031e-16","assist -2.22044604925031e-16","australian -2.22044604925031e-16","begin -2.22044604925031e-16","broadcaster -2.22044604925031e-16","buzyn -2.22044604925031e-16","check -2.22044604925031e-16","chinese -2.22044604925031e-16","cnn -2.22044604925031e-16","command -2.22044604925031e-16","convene -2.22044604925031e-16","cooperation -2.22044604925031e-16","country -2.22044604925031e-16","couple -2.22044604925031e-16","direct -2.22044604925031e-16","entry -2.22044604925031e-16","facility -2.22044604925031e-16","first -2.22044604925031e-16","flight -2.22044604925031e-16","force -2.22044604925031e-16","friday -2.22044604925031e-16","germany -2.22044604925031e-16","give -2.22044604925031e-16","globe -2.22044604925031e-16","hotel -2.22044604925031e-16"
"2","china -0.0226862195545808","canadian -0.00764640772101299","south -0.00419157063268494","coronavirus -0.00408625616478842","statement -0.00304216570460814","french -0.00230941007422347","canada -0.00189221595862177","people -0.00164761333517505","entry -0.001593745841031","last -0.00138940029280754","wednesday -0.00134711700537127","ban -0.00120954812662122","plan -0.00116510461885666","work -0.00116510461885666","korea -0.00112954888743488","deny -0.00101600626028286","buzyn -0.000974046367194448","resident -0.000923022639451432","enter -0.000839410570775523","outbreak -0.000679729198817758","state -0.000679729198817758","sunday -0.000659572814338261","zealand -0.000659572814338261","measure -0.000641901394768718","thursday -0.000640269858170006","late -0.000565021008674393","wuhan -0.00056158850823862","prepare -0.000539556684837406","global -0.000536933367245029","us -0.000536933367245029"
"3","coronavirus -0.00707179113072176","flight -0.00470778508029168","include -0.00450416254569341","north -0.00434150265911648","evacuate -0.00262926159813792","school -0.00256072231928783","virus -0.00232320075523218","people -0.00229123481855165","family -0.00203110743502377","plan -0.00198825743080677","health -0.00172462423362429","world -0.00163613426848519","outbreak -0.00153280687656709","travel -0.00144307975454394","brazilian -0.00125179731239622","nigerian -0.00125179731239622","group -0.00108335143591332","work -0.00100481776888639","case -0.000995841295687194","member -0.000923099737859201","novel -0.000923099737859201","extend -0.000919135937765048","zealand -0.000861947969378551","agency -0.000846045422819519","island -0.000791996795397432","china -0.000780817707801362","friday -0.000701225059982158","check -0.00069807769230168","korea -0.000662765813095767","positive -0.000637964954065984"
"4","wuhan -0.0324561839951593","case -0.0168811035623337","will -0.0100080235327128","daegu -0.0068195741346786","flight -0.0065792482111523","south -0.00535288017223823","center -0.00341893453752418","kcdc -0.00235539102850313","infection -0.00223792976122372","seoul -0.00200523675332298","patient -0.00189212573549458","confirm -0.00175199455475217","plane -0.00172670783065665","novel -0.00170852184706205","evacuation -0.00136446829887338","group -0.00133768384504418","work -0.00116015435795436","link -0.00112551058848842","officer -0.00112551058848842","diamond -0.00112551058848842","disease -0.00104452343844252","koreas -0.00103665245504381","today -0.00101122048640134","russian -0.00097129898285786","arrive -0.000897202275241815","princess -0.000888774717786367","shincheonji -0.000888774717786367","ukrainian -0.000888774717786367","coronavirus -0.000879409042752854","member -0.000873918965027531"
"5","religious -0.00894047818110666","group -0.00888835519815556","citizen -0.00709395561519155","north -0.00305845375933578","minister -0.0029151564508364","thursday -0.00274855244140226","two -0.00235135128237851","chinese -0.0021144869440719","british -0.00188895538021971","russian -0.00182600796629184","government -0.0017268081597458","infection -0.00135764951814854","patient -0.00135764951814854","evacuate -0.001251976398702","diamond -0.001251976398702","passenger -0.00120744127394634","ukrainian -0.00120744127394634","seoul -0.00118989726488483","spread -0.0010840920656584","ship -0.00108256011325092","princess -0.00108256011325092","shincheonji -0.00104945756241348","today -0.00100608169092675","gyeongsang -0.000916982155598989","total -0.000889659218340055","officer -0.000870711427288673","china -0.000729584711287368","news -0.00071065903461498","carry -0.00067853535318152","veran -0.00067853535318152"
"6","kim -0.00196374072238559","leader -0.00108846197763357","ministry -0.000846787412507211","moon -0.000750677414591783","day -0.000710983799118492","government -0.000649575363319554","control -0.000487853101546976","associate -0.000447339886825882","many -0.000402513968390306","wuhan -0.000385296916991407","hospital -0.000381125762465739","israel -0.000333621192571076","sunday -0.000332435611041126","soldier -0.000315437872410063","headquarter -0.000304695979908676","office -0.000261223796408583","follow -0.000254768143607587","toll -0.000254768143607587","record -0.000247934847660947","china -0.000243630065981493","statement -0.000243630065981493","visit -0.000243576276046986","today -0.000239518814795447","contact -0.000237737957421658","surround -0.000223898614986395","ash -0.000214327152592175","italy -0.000209313732908556","entry -0.000202378034681816","news -0.000196464818208009","work -0.000196464818208009"
"7","group -0.00851366656775909","test -0.00391752209984575","call -0.00287915611449185","new -0.00203371784136619","shincheonji -0.00149732065134534","early -0.00145977171849287","minister -0.001207566596095","health -0.00114261033971252","member -0.00112439840351364","spread -0.00104715807717226","two -0.0010268872734579","military -0.000881102856133631","korean -0.000834146577377681","floor -0.000742829766241515","dorries -0.000696742449393106","ministry -0.000667930238817283","tuesday -0.00062535385219753","seoul -0.000609154376362775","kim -0.000514601424286276","build -0.000511735221019216","kwon -0.000511735221019216","philippine -0.000511735221019216","accord -0.000465185601855489","need -0.000461470676503595","branch -0.000439712528255587","appear -0.000427632584356297","like -0.000427632584356297","identify -0.000418950814330854","cluster -0.000418950814330854","visit -0.000403829007196377"
"8","south -0.0451399882193977","korea -0.0168698135369852","johnson -0.00855535119420192","uk -0.00825008876436462","prime -0.0058457984195458","minister -0.00509602618923333","korean -0.00488691191660262","government -0.00449677768613566","religious -0.00343515494932889","week -0.00337519180389878","shincheonji -0.00305228138268487","london -0.0030430518877278","measure -0.00246813393579859","boris -0.00201539287914099","group -0.00170935466038091","public -0.00152498318874295","immigration -0.00116783671376641","part -0.00104278867260743","keep -0.000992901416910885","total -0.000871385231840938","daegu -0.000854046206070991","advice -0.000784546574335465","pandemic -0.000770482799787087","social -0.000770482799787087","province -0.000765432203333694","military -0.000742565583917831","network -0.000629463358673421","north -0.000624964422140661","european -0.000588957589928718","transport -0.000576301223328302"
"9","run -0.00389171793049226","british -0.00281874809312466","prince -0.00227536376640147","tube -0.00207248294157025","immigration -0.00202369291346582","work -0.0018582800399527","service -0.00180984145610341","new -0.00166746179388333","covid -0.00144757153114006","london -0.00122098749289834","positive -0.00121415313417972","selfisolating -0.00120125276658889","numb -0.001123835338386","case -0.00111015195365005","school -0.00107969865797852","nhs -0.00104034616311033","close -0.00101194258470771","secretary -0.000972950902679126","hancock -0.000877511707482403","get -0.000841685473090492","march -0.00079245051421184","scotland -0.00079245051421184","daegu -0.000772830741647468","us -0.000753745705989628","staffer -0.000681202377056822","hearing -0.000681202377056822","queen -0.000675086151146198","staff -0.000634438157310568","charles -0.000634438157310568","group -0.000604815761975463"
"10","week -0.00386526929915343","test -0.00297202030711996","case -0.0015313202503322","worker -0.00139753088521988","london -0.00117109177653985","rule -0.000949840396791024","close -0.000930433201699721","sanchez -0.000894074798804101","die -0.000716871292164467","transport -0.000692137119567282","network -0.000692137119567282","care -0.000689177187920831","travel -0.000672192148940431","keep -0.000649486914410247","get -0.000643016243663586","immigration -0.000630580496435273","tube -0.000630580496435273","spread -0.000564772144829195","mayor -0.000498633917353608","hungarian -0.000488433826640211","announce -0.000455061685676439","trudeau -0.00044714629859266","police -0.000427848596441294","numb -0.000420624661577107","khan -0.000404974918193579","meet -0.000390442635373245","still -0.000386857107947169","letter -0.000385856618785763","cabinet -0.000385856618785763","state -0.000385689272020873"
