"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","ability 0","able 0","abroad 0","access 0","account 0","action 0","activate 0","actively 0","acute 0","add 0","additional 0","address 0","adhanom 0","administration 0","advise 0","advisory 0","affair 0","affect 0","affiliate 0","african 0","afternoon 0","age 0","ago 0","ahead 0","aid 0","aim 0","air 0","aircraft 0","airline 0","airport 0"
"2","li -0.00937422214511696","death -0.00479766656033698","anger -0.00381719073743125","statement -0.00351580468041501","wenliang -0.00351580468041501","social -0.00342318994057977","police -0.00295091700029648","meet -0.00247556117446535","die -0.0024362634761107","late -0.0024362634761107","countrys -0.00241723682552419","time -0.00231727761928535","level -0.00227690913421741","authority -0.00217686328311739","lis -0.00197153728765131","doctor -0.00175780947795989","become -0.00155646234215734","whistleblower -0.00155646234215734","call -0.00143912854250261","several -0.00136746609446248","try -0.00136746609446248","censorship -0.00136746609446248","week -0.00119079281501488","target -0.00119079281501488","hospital -0.00113416858516702","place -0.00105357919868199","hour -0.00102641643835921","one -0.00102641643835921","censor -0.00102641643835921","delete -0.00102641643835921"
"3","chen -0.00708984061664619","video -0.00312909353988566","countrys -0.00267244094657271","official -0.00234383334263211","quarantine -0.0020803049707675","city -0.00188702780253747","chens -0.00175583936191204","journalist -0.00175583936191204","qiushi -0.00175583936191204","friend -0.00173413746922646","several -0.00154666630573863","miss -0.00138642136387246","lis -0.00127551225147504","anger -0.00123526165577525","delete -0.00116092364358811","statement -0.00104058762972536","tell -0.00103733224348712","also -0.00100213497802148","security -0.000951686111419159","arrive -0.00086559906484851","trump -0.000843004695568417","spark -0.000830706895569189","see -0.000789511372961682","arrest -0.000779021935772395","disappearance -0.000779021935772395","theory -0.000779021935772395","put -0.000754894550300533","meet -0.000686358720435876","even -0.000671844101166608","find -0.00061268636474443"
"4","li -0.0187201637315875","praise -0.00316410512012943","wuhan -0.0022780168043055","death -0.00205624379018987","wenliang -0.00193783449884266","journal -0.00186780660023766","try -0.00152759140528524","two -0.00135030208562903","become -0.00127014553996907","report -0.00125974231193204","real -0.00119391794707735","online -0.0011503336344858","hubei -0.00113882981620628","month -0.0010519420682652","chen -0.000947346747390942","january -0.000921446847168883","beijings -0.000913622759915689","tedros -0.000913622759915689","revelation -0.000913622759915689","almost -0.000789801786019062","phone -0.000789801786019062","province -0.00078551765493684","anger -0.000760536685725288","information -0.000752572102128424","front -0.000748247017378412","trump -0.000693756511448096","declare -0.000670933677162977","blame -0.000670933677162977","major -0.000661064400062639","statement -0.00065969133877497"
"5","trump -0.0221902675340544","li -0.0105230607365518","chinese -0.00678403380236103","administration -0.00600300679217702","house -0.00459788299278119","xi -0.00409976244984078","wuhan -0.0032840574829881","death -0.00256935125681601","request -0.0025129483755767","white -0.00231544316300114","authority -0.00223057922342496","us -0.00222796113868295","police -0.00221467697305511","fund -0.00208516704609973","penny -0.00193778831018532","medium -0.00191785304713654","billion -0.00177226445025502","wenliang -0.00153279053727562","democrat -0.00146362800016664","doctor -0.00135710424968083","emergency -0.00128043599075867","american -0.00120124271847133","vice -0.00118476788930366","world -0.000892751235028411","azar -0.00083269367843597","late -0.000832564872642494","die -0.000825670065914386","anger -0.000824468779318854","try -0.000753238403554901","mike -0.000722396206592313"
"6","penny -0.00277840717817146","test -0.0025717666337125","china -0.00200173712484053","meet -0.00196459555676176","vote -0.00161337412300133","chinese -0.00157601232059357","virus -0.00125733372371717","azar -0.000910445729011777","visit -0.000909376340383572","report -0.000902312130333982","xi -0.000902312130333982","package -0.000880034606203561","cnn -0.000791794216195352","democrat -0.0007917251690438","post -0.000770379945756905","pass -0.000736845647545947","bill -0.000698472442290821","industry -0.000673941905843689","deal -0.000575015874224927","whistleblower -0.000546186760784328","today -0.000460066968154593","lead -0.000444392821343342","medium -0.000444392821343342","concern -0.000440756467627534","complaint -0.000440756467627534","hh -0.000416441807747803","cdc -0.000415877973112599","death -0.000401460082802396","threat -0.000346316290136373","public -0.000345439524933489"
"7","health -0.00385816172198117","test -0.00346100456376697","fund -0.00299586455599976","positive -0.00240489031236213","contact -0.00238209817876855","request -0.00216087973343515","billion -0.00188972789611463","china -0.00179180066070783","response -0.00117129507618341","public -0.00113141957752183","chinese -0.00102149124772954","source -0.00100218483479309","outbreak -0.000963030255426989","government -0.000881998338928991","case -0.000874411264820907","rep -0.000812999643247103","brazilian -0.000714287051199136","american -0.000713481533385463","economic -0.000686081883109702","us -0.000655301056980084","selfquarantine -0.000652681170149938","bolsonaro -0.000604459334891616","tax -0.000604459334891616","familiar -0.000597107418692011","individual -0.000563484439429884","attendee -0.000552991754179777","wuhan -0.000514020955388328","friday -0.000513287818680208","aide -0.000503820063582627","control -0.000458853443726093"
"8","senate -0.0011885056383637","primary -0.00113551204558915","contact -0.00104514675473888","vote -0.000859786949669039","election -0.00064282004232219","american -0.00058370402435648","secretary -0.000554311352738091","move -0.000524655785710482","official -0.000517260412384091","cpac -0.000491915803615073","familiar -0.000480082316379637","attendee -0.000472882980663947","tweet -0.00046419182859414","meet -0.000446824631017195","selfquarantine -0.000442281064077177","industry -0.000416332704792799","pass -0.000415162640377109","press -0.000385829121922421","covid -0.000360872480920094","conference -0.000352046567833386","june -0.000350030878290997","gaetz -0.000347327466210023","one -0.000337252679405653","week -0.00032327713806124","tax -0.000303182988286133","european -0.000299372682590948","attend -0.000299372682590948","conservative -0.00029127793069661","first -0.000272743531182229","early -0.000271791881173322"
"9","bill -0.0158033133918575","vote -0.0137362683842922","stimulus -0.0110188645223337","package -0.00566351799074472","deal -0.00355062527334182","member -0.00317083463088386","call -0.00302368261539598","senate -0.00298736197538141","test -0.00280240639309037","trillion -0.00268525084780791","president -0.00168301975547402","leader -0.00130852565766792","official -0.00105977711052452","economy -0.000854959724449156","voice -0.000777388595071815","pass -0.000726037968554083","billion -0.000680523806266708","announce -0.000639432809250273","meet -0.000591382133154572","senator -0.00057102846769097","negotiation -0.000570917837355522","final -0.000545317626376884","massie -0.000524285900578847","loan -0.000479646073436646","aid -0.000477464521177806","business -0.000477464521177806","brazilian -0.000463560064651536","contact -0.000429303493208799","record -0.000420375899555903","democrat -0.000389142926802921"
"10","vote -0.0132322702960441","senate -0.00620030465103383","package -0.00462128036787368","stimulus -0.00444928375481246","bill -0.00363213072265667","biden -0.00358642112673013","president -0.00318465455034733","deal -0.00171404878656256","leader -0.00133724303116134","response -0.00118144843631407","economic -0.00102978939854692","trillion -0.000965467265662157","penny -0.000809657950339715","billion -0.000782886696454876","schumer -0.000757439657920966","tweet -0.000718400386058193","final -0.000718400386058193","information -0.000621008642860188","committee -0.000578235257558291","positive -0.00054942928700985","massie -0.00054942928700985","test -0.000533602842585079","pass -0.000478664557046371","senator -0.000433944957332288","voice -0.000429440418424964","democrat -0.000415765423086967","order -0.000392418284910545","republican -0.000387272653094461","report -0.00036980194430758","reserve -0.000353640128847088"
"11","bill -0.00867506931779805","stimulus -0.00699628336202396","member -0.00625037376460358","senate -0.00430044108342309","deal -0.00363048793969434","organization -0.00205911027565275","world -0.00169131749097373","package -0.00123694628625415","system -0.00122092439385424","election -0.00116648085108184","program -0.00115831310099002","claim -0.00109704505874153","wisconsin -0.00108123405181593","court -0.00108123405181593","congress -0.00104707845632301","vote -0.00103568941419308","go -0.000973604452581656","tedros -0.000950074930250566","trillion -0.000886017442860765","pompeo -0.000827434769797297","senator -0.000804778727532152","able -0.000779987605681542","economic -0.000710462570939874","mail -0.000668670272361283","memo -0.000607666320464606","pass -0.000605148382695875","final -0.000595679142442296","voice -0.000557829357066608","task -0.000551573379937387","brief -0.000492515214793099"
