"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","across -2.22044604925031e-16","also -2.22044604925031e-16","amid -2.22044604925031e-16","among -2.22044604925031e-16","battle -2.22044604925031e-16","body -2.22044604925031e-16","broadcaster -2.22044604925031e-16","chinese -2.22044604925031e-16","clinical -2.22044604925031e-16","close -2.22044604925031e-16","clothe -2.22044604925031e-16","colleague -2.22044604925031e-16","combat -2.22044604925031e-16","come -2.22044604925031e-16","contract -2.22044604925031e-16","cope -2.22044604925031e-16","dedicate -2.22044604925031e-16","describe -2.22044604925031e-16","dozen -2.22044604925031e-16","either -2.22044604925031e-16","entirely -2.22044604925031e-16","factory -2.22044604925031e-16","fear -2.22044604925031e-16","find -2.22044604925031e-16","four -2.22044604925031e-16","go -2.22044604925031e-16","goggle -2.22044604925031e-16","great -2.22044604925031e-16","hubei -2.22044604925031e-16","identify -2.22044604925031e-16"
"2","drug -0.00731628685998231","coronavirus -0.00706808455783459","monday -0.00647070945766315","accord -0.00425411916017637","city -0.00378227437658707","worker -0.00304422789533643","china -0.00250905669609036","combination -0.00250905669609036","system -0.00203052124134673","two -0.00203052124134673","treat -0.00175553627467673","test -0.00160308197758452","sample -0.00156514521828655","chinese -0.00144859384493723","israel -0.00122649604873426","successful -0.00122649604873426","account -0.00103221153805433","ready -0.00103221153805433","medium -0.000963714065584265","social -0.00093716094812113","official -0.000900550061872063","result -0.000900550061872063","return -0.000900550061872063","thailand -0.000900550061872063","update -0.000900550061872063","public -0.000818880620533369","pack -0.000738633305825354","condition -0.000721573378849483","infect -0.000677226759396632","health -0.000659636938634134"
"3","health -0.0157563203382708","organization -0.0104598053988909","ghebreyesus -0.00895482788892654","world -0.00716578670120871","china -0.00514524840241237","tedros -0.00490863285025045","adhanom -0.0041327730289481","directorgeneral -0.00362838311166946","chinese -0.00346932677212664","appear -0.00307842555488924","many -0.00248008526466748","infection -0.00231561018436055","read -0.00209448371213261","medium -0.00204104807455252","call -0.00194419806549717","wan -0.00194419806549717","staff -0.00173205269919652","novel -0.00154464323328196","international -0.00129967886481508","nearly -0.00129967886481508","work -0.00117310915267332","expert -0.00113472547958748","treat -0.00109076448998746","another -0.00106688777784514","city -0.00102298285610014","suspect -0.000864386610429202","show -0.000841312506443925","use -0.000840007263856246","diagnose -0.000785352403812611","speak -0.000750282363271015"
"4","country -0.00809848488877463","disease -0.00647944180785931","novel -0.00452766345398903","mask -0.00302641438464113","tedros -0.00298222938485271","build -0.00271319488912125","director -0.00247303573182045","supply -0.00221558754045781","tell -0.00185631355404403","staff -0.00174335041358098","use -0.00173857549020295","us -0.00140231210262343","nebraska -0.00130675264789559","world -0.00128929242034626","case -0.00109149581257961","need -0.00106243782794513","high -0.000978451922306389","cruise -0.00095279139965776","frustration -0.000906745527590846","guideline -0.000906745527590846","liu -0.000906745527590846","martyr -0.000906745527590846","wuchang -0.000906745527590846","cnn -0.000878510446898573","suspect -0.000867517300325416","treat -0.000859472970110797","equipment -0.000824962641012283","japan -0.000806018174441037","john -0.000806018174441037","ship -0.000806018174441037"
"5","hospital -0.0142393916635487","patient -0.00947962327269969","robot -0.00537743468073282","medical -0.0047414187105993","giant -0.00261838474846599","tech -0.00261838474846599","build -0.00240455745987156","staff -0.00240455745987156","mask -0.00224464533359503","treat -0.00214651463194393","food -0.00192063741969406","italy -0.00165061833791758","part -0.00154859643734884","ghebreyesus -0.00150391373178738","new -0.00142554543686435","protect -0.0014040788397266","treatment -0.00134929403944051","approach -0.00133197569757015","sign -0.00133197569757015","delivery -0.00133197569757015","development -0.00121887623655048","department -0.00110785575795602","case -0.00104830892564312","friday -0.00101194116863934","hundred -0.000892047803274898","autonomous -0.0008515243174958","customer -0.0008515243174958","human -0.0008515243174958","fashion -0.0008515243174958","africa -0.0008515243174958"
"6","hospital -0.0311855442759755","wuhan -0.0157841013522133","town -0.00800564176267948","hall -0.00446623528715706","organization -0.00419894901024243","team -0.00349469009812375","cnns -0.00303614468010516","ghebreyesus -0.00285646341431922","washington -0.00276524566091718","home -0.00273749380401023","tedros -0.00256192781953823","question -0.00249817377274764","correspondent -0.00243901730323925","test -0.00228585372627077","school -0.00177984636921813","child -0.00155774840881784","answer -0.00155774840881784","treat -0.0014420992700469","adhanom -0.0013324665243204","hotel -0.00119162639957693","million -0.00119162639957693","gupta -0.00119162639957693","kirkland -0.00119162639957693","come -0.00116557083414648","monday -0.00115024879354564","supply -0.00115024879354564","cnn -0.00113157802047914","nurse -0.00111342551836013","know -0.00105229157347131","africa -0.00105229157347131"
"7","collapse -0.00360813006040306","town -0.00313758257302521","facility -0.00208093388370556","staff -0.00208093388370556","night -0.00202383457253408","africa -0.00175905093161077","hank -0.00159786053330813","school -0.00147291561494312","census -0.00140388193102747","build -0.00126286736051684","two -0.00125999967568513","search -0.00122254003137823","student -0.00114759257915431","correspondent -0.00113953281115675","center -0.00113165220856892","child -0.0010633238266462","place -0.0010633238266462","rescue -0.00105381032884388","life -0.00104500694691023","thousand -0.00095157203162155","killian -0.000897670047628196","tom -0.000897670047628196","employee -0.000860073435896225","app -0.000784852538571412","also -0.000779212479147029","get -0.000766756507585731","large -0.000685881442949121","hall -0.000673728977300225","trap -0.000623075243804116","quanzhou -0.000623075243804116"
"8","website -0.0096703927661943","covid -0.00442781264754077","washington -0.00365242846047809","google -0.00359626165874716","question -0.00263925896028616","tool -0.00171520299473371","announce -0.00162781298716497","license -0.00118600947373981","city -0.000995983696399083","kirkland -0.000887877396918646","symptom -0.000831270881324175","china -0.00082050058897909","cnns -0.000790548118909551","just -0.000786278883472713","school -0.00072977787832218","tweet -0.000723168734225066","africa -0.000693134495349357","board -0.000666512657946483","peru -0.000666512657946483","verily -0.000666512657946483","die -0.000660642028121661","li -0.000641567648113628","american -0.00062505204662644","virus -0.000585405205168033","friday -0.000573703648917179","launch -0.000556564771426182","claim -0.000526495764923363","field -0.000526495764923363","keep -0.000521652017137386","answer -0.000499447645540441"
"9","week -0.0047802882156831","state -0.00437041955198814","last -0.00272516704796233","washington -0.00235112234685908","room -0.0021168877393225","pandemic -0.00194143666769864","outbreak -0.00174256889985425","question -0.00150434106263742","little -0.00114327689270965","post -0.00100615190882103","china -0.000906640483625321","tell -0.00088640217985092","now -0.000885721717843735","today -0.000781742770027849","collapse -0.000781742770027849","correspondent -0.000737704321379651","mental -0.000735429815422628","new -0.000730344284826989","claim -0.00069741748392016","come -0.000695087892885637","life -0.000664349230711569","know -0.000636380825486782","use -0.000636229422991574","give -0.000629352912252301","infect -0.000628194916228342","hospital -0.000617912002800258","free -0.000613452788776225","fort -0.000580918584045298","kirkland -0.000580751858071604","die -0.000579728493010356"
"10","test -0.0139988893473656","hospital -0.00722307813457934","biden -0.00261149227676871","cuomo -0.00227439770409299","people -0.00219630852634356","outbreak -0.00218915792932084","covid -0.00155481130863455","accord -0.00154362273213227","website -0.00151327105712351","physician -0.00124192357549469","government -0.00113505755406151","washington -0.00103587177292286","hotel -0.000973527224944593","get -0.000965765272653796","question -0.000935569259140068","will -0.000821219612208823","brother -0.000595099271102795","positive -0.000583729892805196","official -0.00053561844826433","announce -0.000501716496778215","place -0.000494844976883124","chris -0.000491722864481514","ems -0.000491722864481514","try -0.000476849897590004","help -0.000475159832363237","local -0.000466328190229626","collapse -0.000462377166567718","team -0.000450657417726652","vice -0.000433843449100135","answer -0.000431013690866955"
"11","statement -0.00237238560173469","town -0.00222162816722293","test -0.00178499582136105","list -0.00153031182470242","website -0.0015270854431344","get -0.00145201101089898","hotel -0.00133061953429892","read -0.00112151230137625","quarantine -0.00112089662180226","egger -0.00108090699897168","state -0.000895228088300337","help -0.000868381220997638","spokesperson -0.000867867452971849","letter -0.000840087656792887","food -0.000719442305958218","now -0.000670874270578103","meal -0.000604842897831248","center -0.000588226889019383","opportunity -0.000580788658348097","brown -0.000580788658348097","homeless -0.000580788658348097","hank -0.000519716154881555","worry -0.000483239302529137","hall -0.000480590201821784","many -0.000474783651782662","collapse -0.000454768479874357","live -0.000450461413533665","send -0.000444866590146753","community -0.000443162587078549","google -0.000423923412508076"
"12","test -0.00353374333739132","raise -0.00286475585829227","state -0.00207764056534088","medical -0.00178354007459292","video -0.00176650347636653","world -0.00169325977443657","pope -0.00121271159592617","right -0.00120155370608932","across -0.000966925324365708","call -0.000964297394941083","read -0.000925114618198886","website -0.000906827880916006","plant -0.000854516365389024","moore -0.000854516365389024","woman -0.000850001429739233","put -0.000846760082165776","together -0.000843331422090365","community -0.000838800606434265","francis -0.000834218392875896","quarantine -0.00065840002916473","facility -0.000608764084044755","statement -0.000605923820890975","cnn -0.000577715792474565","haberman -0.000571754480186648","charity -0.000553664332017978","easter -0.000545231062527907","dozen -0.000497867952904185","investigation -0.000497867952904185","mass -0.000497867952904185","spokesperson -0.000460521175066453"
"13","tell -0.00501022153372754","world -0.00260118008638976","raise -0.00251951211472834","community -0.00159108923879747","work -0.00132287899728079","black -0.00132107687601057","help -0.00122844138181788","message -0.00117641983675099","global -0.00115054618913701","read -0.00112312778577361","song -0.00108529046572137","key -0.000857169444351547","need -0.000788981206838346","department -0.000770854148663513","cause -0.000748827695152721","million -0.000745963990539056","american -0.000692026602103879","hispanic -0.000656038154263738","smell -0.000656038154263738","effort -0.000642566668380029","color -0.000616732061452296","child -0.000586413772699856","seem -0.000560549868447002","demand -0.000540739827608827","concert -0.000540739827608827","statement -0.000515117389610964","alicia -0.00048183947304925","hero -0.00048183947304925","boston -0.000468240169024803","staff -0.000457867464802919"
"14","nurse -0.00647013698576049","child -0.00578055801618982","street -0.00398526513301178","kid -0.0036693840527301","dr -0.00334504107762434","hospital -0.0030268418944519","test -0.00165173018094411","breen -0.00154098486744181","sesame -0.00154098486744181","park -0.00146492771812778","since -0.00133395103878753","gupta -0.00129259376832147","time -0.00108818365269192","town -0.000972560682133028","screen -0.000873081876740511","birthday -0.000865748911022202","patient -0.00086535820841005","parent -0.000733841122497303","facility -0.000697164533633887","much -0.00060992622157352","eye -0.000600503571653421","staff -0.000574783342924268","spend -0.000552791286238197","njoroge -0.000523401116847122","stay -0.00050644004510636","daughter -0.000496096226586196","learn -0.000482374432411725","hall -0.000467999434218269","cuomo -0.000439078993446085","york -0.000430375095010427"
"15","nurse -0.00291841174124829","covid -0.00250510628684197","end -0.00183143910867911","community -0.00180883564891854","patient -0.00161243632629804","next -0.00160332673294838","force -0.00105527180365461","close -0.000916524893983972","saturday -0.000841255648580508","city -0.000829900958933094","mark -0.000797733971511172","begin -0.000796599851926039","distance -0.000792737018729062","accord -0.000783530708721392","doctor -0.000775537130624837","test -0.000768081967097101","tell -0.000734638662380993","queen -0.000717550527292499","toll -0.000669237768291642","visit -0.000643920953402266","blue -0.000638395677312387","peanut -0.000638395677312387","air -0.000622056888506362","place -0.000607795608168815","right -0.000588254175339586","wear -0.000576007739968243","old -0.00054703597599004","child -0.000546479805085265","healthcare -0.000531090188284566","use -0.0004913986550239"
"16","baseball -0.00501110570264429","league -0.00314367271836447","nurse -0.00283282590783518","speech -0.0025990137496813","thunberg -0.00254448789666928","game -0.00205909200023435","covid -0.00199251612770235","family -0.0017738629408206","tell -0.00147183775234849","live -0.00136083833127054","global -0.00128508220938794","mlb -0.00124364930095433","commencement -0.00124364930095433","manfred -0.00124364930095433","may -0.00116757115076405","distance -0.000996718751700598","raise -0.000977972810744188","today -0.000951871187752307","plan -0.000941268103712534","greta -0.000913113730882098","ceremony -0.000869340163104915","across -0.000800353184048475","walk -0.000800353184048475","worker -0.000800353184048475","discuss -0.00078148235227582","major -0.00078148235227582","video -0.000766957816247027","commissioner -0.000729882674074034","class -0.000717867059900179","season -0.000717867059900179"
