"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"63","case -0.00542796931959388","province -0.00306960391167521","curfew -0.00189954807115722","work -0.00179803645491805","public -0.00173392995923127","begin -0.00158494643416485","within -0.00134814551814544","monday -0.00129309669660949","test -0.00127608265924972","zealand -0.00106130641261915","government -0.000975408757784346","world -0.000947909829947635","add -0.000865593971934642","day -0.000859950709034774","friday -0.000839505301792887","ask -0.000787787472662949","experience -0.000787787472662949","rapid -0.0007365827883834","ardern -0.0007365827883834","zahawi -0.0007365827883834","people -0.000720173101708799","occupancy -0.00066085615134126","get -0.000655508408066163","back -0.000642515741917871","capital -0.000620477965692978","conference -0.000620477965692978","cnn -0.000571352989949037","effect -0.000571352989949037","europe -0.000571352989949037","statement -0.000559861307753096"
"64","vaccine -0.00561696286261704","region -0.00547677646714639","france -0.00379072225933064","curfew -0.00325661851885239","water -0.00312468712879033","erdogan -0.00312468712879033","people -0.00281043244943802","turkey -0.00238886799115667","hour -0.00229508520495736","place -0.00206052246791699","haridwar -0.00175288348179148","set -0.00147399670289483","death -0.00145696539473161","record -0.00145696539473161","germany -0.00126495214266253","festival -0.00121598890698082","river -0.00121598890698082","turkish -0.00121598890698082","authority -0.00114071102925972","public -0.00110862522017352","continue -0.00109332177715082","consecutive -0.0010770186466732","include -0.00100503177522182","due -0.000963197481792855","worker -0.000963197481792855","distance -0.000942756509746623","test -0.000942366563630559","french -0.00081570705249101","major -0.000777558182427973","police -0.000777558182427973"
"65","oxygen -0.0259671604200966","delhi -0.0116857560391648","india -0.00734536112934026","indian -0.00704009162202135","supply -0.00586180402180914","state -0.00581224407560699","measure -0.00380703184067954","will -0.00351319364380853","indias -0.00299173022617771","ministry -0.00290203044214021","week -0.00259919240270201","france -0.00230883185011732","shortage -0.00225829660944954","region -0.00217031833902059","patient -0.00138072231136876","travel -0.00117160711677744","bed -0.00110722018727782","party -0.00110480010052916","allow -0.0010680500009882","uk -0.000889725094653682","friday -0.000845220021930326","variant -0.000845148984653599","tally -0.000810229655156536","metric -0.000810229655156536","death -0.000809811144116157","go -0.000750201159715358","capital -0.000734258113633035","ton -0.000680610683015503","modi -0.000652175435308266","vaccine -0.000565504880852719"
"66","oxygen -0.0209446123247832","will -0.0136573292312658","supply -0.00535427368081043","measure -0.00314919314351947","india -0.00312261803738179","lockdown -0.00264543190210476","medical -0.00253564042342369","infection -0.00248873325518151","april -0.00208261088710582","curfew -0.00170862659991788","cylinder -0.00166091630969678","pm -0.00143087943088804","public -0.00133370170138991","travel -0.00128716750286306","allow -0.00126644443288026","aid -0.00117672901083743","home -0.001169366396504","uk -0.0011223233405615","restriction -0.000993387923805544","go -0.000867621517757433","first -0.000845972198917577","people -0.000651071740904063","outdoor -0.000598744050244737","now -0.000592557023531892","set -0.000587451454069687","since -0.000581576752315405","vaccine -0.000550933636064621","rule -0.000537313423124242","close -0.000509715328370297","line -0.00047928031713329"
"67","will -0.0062048541033074","thursday -0.00173841671601604","measure -0.0013407287567232","accord -0.0011516959812089","add -0.00106612311225884","nepal -0.00106577454732981","medical -0.00102838635578173","monday -0.000972345716782952","patient -0.000946637540664597","prime -0.000904631563196534","saturday -0.000903556157710095","struggle -0.000895746182686175","come -0.000869450279547102","curfew -0.000869450279547102","provide -0.000807458836905917","public -0.00069930097336901","wednesday -0.000654811089873752","around -0.000606301529389675","indian -0.000599940641957009","allow -0.000595894594788704","restriction -0.000595894594788704","travel -0.000591752318489291","receive -0.00055824696826301","aid -0.000547199058455683","help -0.00053887209661907","now -0.000535632273649722","increase -0.000500757612069691","party -0.00049715587000454","vaccine -0.000476333807418516","record -0.000458695426583389"
"68","delhi -0.00460262702472281","nepal -0.00337711305818122","death -0.00297534922137632","ministry -0.00273662750442505","district -0.00251013620185858","etienne -0.00239674643625076","coronavirus -0.00231694447320208","nepals -0.00211714957318543","uttar -0.00143030481330508","accord -0.00124863927069951","medical -0.00113387196156967","lockdown -0.0010124962869934","majority -0.000999953892812488","national -0.000960412966764745","hundred -0.000938545312947792","report -0.000918891813111777","local -0.000898827812302327","health -0.000893196462084966","rise -0.000880587822668422","region -0.000878380664586897","pandemic -0.000843348814820177","equipment -0.000801912684342154","city -0.000786983656665741","numb -0.000742258621663439","work -0.000719322071343509","aid -0.000677579092330571","address -0.000650156691740067","record -0.000610777137484475","face -0.000597849179266086","gather -0.000597203518320932"
"69","oxygen -0.0286647261381757","hospital -0.00934473544650005","indian -0.00509335135126321","case -0.00411172773555091","district -0.00225020825578481","sisodia -0.0021939096857212","test -0.00210323079461883","new -0.00208739553844095","latin -0.00173182982129261","caribbean -0.00164878160583137","build -0.00140617363881734","patient -0.00129077995873372","warn -0.00117336380900157","vaccine -0.00110327912332531","death -0.00101694304983058","total -0.00100744034562428","israeli -0.000972648588634883","americas -0.000972648588634883","can -0.000905810808819463","official -0.000895785698158291","clinic -0.000839782348715512","region -0.000839782348715512","central -0.000827655312404252","may -0.000819512264038424","risk -0.000789656782394843","numb -0.000740305514152273","hit -0.000730836137190272","entry -0.000675040613316025","protect -0.000675040613316025","israel -0.000675040613316025"
"70","oxygen -0.0150024727211621","supply -0.00928226624239858","brazil -0.00593891537584168","central -0.00501585566339169","wave -0.00474470784856085","etienne -0.00436307149082038","hospital -0.00435000553600462","sisodia -0.00290818048388841","despite -0.0023954652873045","individual -0.00226421508389063","death -0.00194799680771218","minister -0.00189940473103922","request -0.00183254958536694","report -0.00153253899513695","vaccination -0.00150467339911975","tuesday -0.00147404920772742","huge -0.00146781988868638","care -0.00141178398886177","indias -0.00139553349980748","aim -0.001368074901128","child -0.001368074901128","osaka -0.001368074901128","provide -0.00129132253063513","decision -0.00126966192690137","people -0.00123312399587638","new -0.0012004171865001","record -0.00112078577427333","prime -0.00106664394994382","ministry -0.001017730549142","crisis -0.00101385226860118"
"71","oxygen -0.0147548609133117","india -0.013408234291561","vaccination -0.0102590188152828","shop -0.00772320967871359","hospital -0.00721482597646034","wave -0.00443317382080693","case -0.00397641742602151","barber -0.0038905708864761","delhi -0.00324412255245782","medical -0.00312382548302165","indias -0.00277696869391447","minister -0.00255737314272092","education -0.00247823313353551","pay -0.00247823313353551","small -0.00247823313353551","biden -0.00247823313353551","water -0.00224421819241472","report -0.00204884117723958","shortage -0.00204884117723958","vaccine -0.00189890663595793","partnership -0.00178281428721666","available -0.00160262717948956","billion -0.00138892086427339","information -0.00138892086427339","kamala -0.00138892086427339","aim -0.00133022322529941","provide -0.00127762890111188","ministry -0.00120327874332082","one -0.00120327874332082","program -0.00110722470516422"
"72","india -0.0177127237402809","will -0.00652903406253114","bill -0.0058819811989157","case -0.00517380818824198","gov -0.00448563271069014","department -0.00339598047121092","airline -0.0032843511919709","wave -0.00319367187109221","oxygen -0.00319367187109221","stockpile -0.00281506624774608","patient -0.0027175533091166","cnn -0.0024942227314525","due -0.0024942227314525","year -0.0023551785143805","expire -0.00227425488753563","sununu -0.00227425488753563","emergent -0.00227425488753563","vaccination -0.00211748615610952","dos -0.00204570708538776","federal -0.00190466484955099","shortage -0.00188270833151905","etienne -0.00188270833151905","authority -0.00152343216951778","central -0.00152343216951778","indias -0.00152343216951778","border -0.00150456227931473","johnson -0.00146350361384884","process -0.00145211597806938","ohio -0.00145211597806938","hospital -0.00135822348269066"
"73","week -0.0232652574138069","country -0.00708969879716376","supply -0.0052255423093221","health -0.00515065170574075","adjust -0.00390993129182476","ducey -0.00390993129182476","take -0.00370483567586827","employee -0.00205706354772517","official -0.00174194126102356","campus -0.00172542658245595","low -0.00172542658245595","peak -0.00172542658245595","quickly -0.00172542658245595","town -0.00172542658245595","mexico -0.00172542658245595","swing -0.00172542658245595","downward -0.00172542658245595","central -0.00155280887019094","district -0.00155280887019094","due -0.00155280887019094","tell -0.00155280887019094","canada -0.00146081344104837","may -0.0013746980263819","full -0.00131030046505187","great -0.00131030046505187","way -0.00131030046505187","national -0.00120757060113164","shortage -0.00120757060113164","statement -0.00120757060113164","delhi -0.00120757060113164"
"74","zone -0.0169158332314658","white -0.0104545525753982","vaccination -0.00907412277225073","vaccine -0.00853154562109765","say -0.00701962628313091","covid -0.00610461201016582","migrant -0.0056469811470361","state -0.00344915128351467","turn -0.00245461907302294","supply -0.00203926000892488","country -0.00137658161652507","bar -0.00137022011518059","italian -0.00137022011518059","remain -0.00137022011518059","policy -0.00121824471629797","us -0.00118534763876471","will -0.00118534763876471","brazil -0.00118534763876471","dos -0.00118534763876471","program -0.00100873943980365","also -0.00084664917086219","new -0.00084664917086219","across -0.000698978268428685","add -0.000698978268428685","bill -0.000698978268428685","department -0.000698978268428685","statement -0.000698978268428685","tell -0.000698978268428685","etienne -0.000698978268428685","consider -0.000605700409834792"
"75","faa -0.0101075369143684","vaccination -0.00621771290100992","vaccine -0.00579590031645702","understand -0.00421091526618503","health -0.00362005905568044","say -0.00362005905568044","covid -0.00248160834349179","mask -0.00171495172925742","supply -0.00157173924102477","state -0.00119818792136359","coronavirus -0.00103113738220476","begin -0.00101502724033017","break -0.00101502724033017","confidence -0.00101502724033017","every -0.00101502724033017","expert -0.00101502724033017","leader -0.00101502724033017","mean -0.00101502724033017","post -0.00101502724033017","question -0.00101502724033017","safety -0.00101502724033017","commercial -0.00101502724033017","former -0.00101502724033017","consumer -0.00101502724033017","sweep -0.00101502724033017","truck -0.00101502724033017","economist -0.00101502724033017","perfect -0.00101502724033017","transmissibility -0.00101502724033017","government -0.00087703554738594"
"76","virginia -0.0055597637428792","walensky -0.0055597637428792","breakthrough -0.0055597637428792","vaccine -0.00459986034842458","say -0.00321879962418534","covid -0.00281803836697472","health -0.00244594748508953","announcement -0.00239681634873118","cold -0.00239681634873118","coverage -0.00239681634873118","supply -0.00210193456352781","public -0.00149602745917282","state -0.00149602745917282","bill -0.00123319585805709","border -0.00123319585805709","coronavirus -0.00123319585805709","monday -0.00123319585805709","region -0.00123319585805709","week -0.00123319585805709","zone -0.00123319585805709","dos -0.00123319585805709","early -0.000996563226529773","government -0.000996563226529773","white -0.000996563226529773","gov -0.000996563226529773","department -0.000785772061863865","good -0.000785772061863865","million -0.000785772061863865","pandemic -0.000785772061863865","accord -0.000600506380455029"
"77","delta -0.0173846684130458","variant -0.0138855048619603","zone -0.00971807058412699","white -0.00781037541952995","cnn -0.00621199026369579","region -0.00612855650791921","migrant -0.0034086331866427","fast -0.00332434200295911","mandatory -0.00332434200295911","french -0.00261892029821664","worker -0.00261892029821664","macron -0.00261892029821664","border -0.00235673617586468","policy -0.00235673617586468","citizen -0.00199992737459675","may -0.00199992737459675","positive -0.00199992737459675","give -0.00150292881093506","good -0.00150292881093506","ministry -0.00150292881093506","turn -0.00150292881093506","quarter -0.00150292881093506","infection -0.00146605155295892","spread -0.00146605155295892","start -0.00146605155295892","study -0.00146605155295892","epidemiological -0.00146605155295892","country -0.00101617115750413","since -0.00101617115750413","canada -0.000843059228969656"
"78","hospitalize -0.0055282844796839","zone -0.00430334732560322","health -0.00365345425637642","announce -0.0034779186690076","fast -0.0034779186690076","government -0.0034779186690076","mandatory -0.0034779186690076","white -0.0034779186690076","player -0.00308918012810222","french -0.00274250195536418","monday -0.00274250195536418","worker -0.00274250195536418","macron -0.00274250195536418","experience -0.00213973348810437","just -0.00213973348810437","right -0.00213973348810437","statement -0.00213973348810437","team -0.00213973348810437","beshear -0.00213973348810437","citizen -0.0020960393302687","region -0.0020960393302687","early -0.00189625145085792","face -0.00180869480958001","home -0.00157712336711247","authority -0.00153760706585027","increase -0.00153760706585027","last -0.00153760706585027","plan -0.00153760706585027","study -0.00153760706585027","migrant -0.00153760706585027"
"79","delta -0.00811882780403417","list -0.00739549080073143","quarantine -0.00557952292170372","department -0.00386421542268145","respond -0.00386421542268145","variant -0.00365791246438862","thursday -0.00337982879331189","fully -0.00318532503440583","symptom -0.00318532503440583","strain -0.00265959060602672","fast -0.00215187179630283","may -0.00215187179630283","patient -0.00170933984010402","red -0.00170933984010402","french -0.00169855406789909","government -0.00169855406789909","hospitalize -0.00169855406789909","leader -0.00169855406789909","spread -0.00169855406789909","worker -0.00169855406789909","macron -0.00169855406789909","unvaccinated -0.00169855406789909","hour -0.00160786123354717","now -0.00130624589726513","require -0.00130624589726513","citizen -0.00129931593614097","face -0.00129931593614097","take -0.00129931593614097","add -0.00128400965615372","early -0.00120304781715375"
