"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"26","coronavirus -0.00351070668394571","covid -0.00349306706688468","sunday -0.00131145356086759","people -0.00109575159491138","test -0.00104483574605141","tuesday -0.000757633157095094","wednesday -0.000725230283357026","forecast -0.000704232635551083","monday -0.000690873110785528","datum -0.000660579155941532"
"27","test -0.00274260521862391","record -0.0017760432727979","ministry -0.00145189197047979","high -0.000839490764980244","say -0.00083884160070069","week -0.000633437183742425","vietnam -0.000429024770081221","da -0.000373696001276014","nang -0.000373696001276014","june -0.000341363956290697"
"28","say -0.00211030452107552","infection -0.00185510493882823","wednesday -0.00129880084122402","july -0.00127392542081084","identify -0.000802121696802049","state -0.000747609718393383","health -0.000582679075258996","fatality -0.000482519052981356","virus -0.000471849914254308","toll -0.000436900313876554"
"29","numb -0.00263818350819678","wednesday -0.000539158851080246","two -0.000372027731538993","saturday -0.000369867104992538","virus -0.000355578341369123","say -0.00034043508164916","lopez -0.000309593337029845","ministry -0.000289006001693903","south -0.000254500157961801","africa -0.000238339675752042"
"30","mexico -0.00137738488457517","say -0.00119431124974312","thursday -0.000775793832398786","country -0.000702915504297352","test -0.000662435676044626","july -0.000636645749820031","tuesday -0.000576181738367598","day -0.000516266714970848","india -0.000477399954450841","follow -0.000448541748441333"
"31","infection -0.00166188505244003","day -0.000966228625259968","country -0.00067894808415303","accord -0.000591200107569412","china -0.00052691022830742","virus -0.000379297876518914","hour -0.000374962601457751","france -0.000369116326462859","italy -0.000369116326462859","transmit -0.000296281916734809"
"32","brazil -0.00179262606112818","million -0.00149708352137401","colombia -0.000841556405100197","johns -0.000730227323004873","datum -0.000650911937451371","university -0.000519795503371334","hopkins -0.000519022281947223","take -0.00049185625491055","world -0.000421088165546979","virusrelated -0.000385876996396584"
"33","india -0.0066376743044666","world -0.00198364302885057","americas -0.00104106008605631","account -0.000874271480056255","virusrelated -0.000822277286914863","bed -0.000541552759282471","university -0.000441212002658231","us -0.000406361736883021","train -0.000403386463362576","brazils -0.000397822446345453"
"34","us -0.00427003262367265","brazil -0.00252158237068556","numb -0.00234155149789195","mexico -0.0019184357794868","countrys -0.00184688774229624","confirm -0.00102250715377061","less -0.000818624165376702","include -0.000803639795293742","district -0.000757808602749876","johns -0.000571919956834588"
"35","ministry -0.00496691771015212","numb -0.00354445761057653","report -0.002688756581115","day -0.00230160400426083","brazil -0.00195162313633712","pandemic -0.00128549806632139","india -0.00119925109650798","us -0.00114536995076731","hit -0.000968932296782743","late -0.000942535596411109"
"36","state -0.00724040338307275","ministry -0.00371850605687063","numb -0.00332735591959632","brazil -0.00138017720190864","health -0.00135403114237997","datum -0.00126726441907721","day -0.00114054087793114","show -0.00101399216307918","bring -0.000995344272927468","also -0.000892755290708758"
"37","less -0.00481733768507031","wednesday -0.00206826305492236","death -0.00149779173850206","sunday -0.000946278909276566","toll -0.000809092784123111","mink -0.000580580741843639","stand -0.000445418675320108","editorial -0.000426446469042996","hopkins -0.000349492478028623","hour -0.000346577424818917"
"38","day -0.00199854403281963","us -0.00168439000094789","since -0.00122861100761218","saturday -0.00100814963884688","russia -0.000955153207055748","friday -0.000944977670248037","toll -0.000769783092545273","countrys -0.000769307406721875","ministry -0.000655598970602078","model -0.000582806417403603"
"39","report -0.00233492899812693","high -0.00112297095518887","daily -0.000791850502250058","unite -0.000731359904548312","world -0.000710235423429961","india -0.000557119407633477","us -0.000415008988203791","thursday -0.000319000870758757","rise -0.000232965571046795","show -0.000229190911103072"
