"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","ability -2.22044604925031e-16","across -2.22044604925031e-16","also -2.22044604925031e-16","attraction -2.22044604925031e-16","bar -2.22044604925031e-16","beijings -2.22044604925031e-16","body -2.22044604925031e-16","bureau -2.22044604925031e-16","capital -2.22044604925031e-16","central -2.22044604925031e-16"
"2","say -0.00711030110573685","mainland -0.00338532319448392","health -0.00267140804887001","bus -0.00253277224040938","olympic -0.00225224378193212","one -0.00204364021088776","case -0.0020429957875","confirm -0.0020429957875","january -0.0020429957875","take -0.0020429957875"
"3","city -0.0235373403957339","novel -0.0141956940892053","million -0.00668405853388543","event -0.00593074283708506","party -0.00559554513553173","world -0.00437138449974417","say -0.00376241564072188","wuhan -0.00324001048640365","game -0.00282683928056271","health -0.00281728163991579"
"4","city -0.0224801263098547","wuhan -0.0211469731031224","street -0.0124273773522069","million -0.00986803924084634","expulsion -0.00786829036552494","neighborhood -0.00543252592008259","case -0.00354924297110071","travel -0.00345510123377102","foreign -0.00287154380498933","opinion -0.0026442570507883"
"5","city -0.0362111939343074","point -0.0142406148302987","wuhan -0.0100560420530268","dow -0.00955086961743101","drop -0.00753639917582294","market -0.00713721526322247","bad -0.00621146555164759","stock -0.0055591370140573","index -0.00497480555667978","hubei -0.00456811022887288"
"6","china -0.0195645032155977","city -0.0110094353672252","rate -0.00732884475479123","cut -0.00447003326554851","chinese -0.00423531543772404","hubei -0.00356699589776233","wuhan -0.00285150028924042","game -0.00271873791243626","case -0.00218527777633393","province -0.00209562869537427"
"7","league -0.0125857986455242","player -0.00724575593884669","team -0.00690347387963419","china -0.00528601974393761","tournament -0.00510621613241324","suspend -0.00452742716457344","point -0.00451011621489306","season -0.00355164944049147","novel -0.00312552169792957","nba -0.00289563746983657"
"8","olympic -0.00502996921964172","china -0.00310415755666782","may -0.00252284930960811","event -0.00218303624985994","drop -0.00188445700821882","fear -0.0015160618795621","athlete -0.00138876604098592","bad -0.00109132706833348","league -0.00104570275173677","conference -0.00102086404368729"
"9","olympic -0.0190526619436557","athlete -0.00358000049378948","committee -0.00351966178951935","league -0.00275656057744922","abe -0.00270950243913737","postponement -0.00244076905808788","march -0.00190659906135526","drop -0.00181842633225893","japanese -0.00136612329404961","show -0.00126505283261402"
"10","olympic -0.0047083839745411","postpone -0.00363917817941872","game -0.00244005350267185","cancel -0.00219206388067861","suspend -0.00213790333221708","even -0.00163652822624638","change -0.00161813527914356","around -0.00138471602506884","quarter -0.00138116717147596","low -0.00133809925789852"
"11","olympic -0.00620048371365056","game -0.00456156124015183","schedule -0.00340711616211165","cancel -0.00273240897945093","postpone -0.00188346364736069","story -0.00184392917229881","easter -0.00173216932168363","suspend -0.00166494852059351","still -0.00152284310095252","call -0.00140011080560964"
"12","olympic -0.0147386893405862","trial -0.00528745438824985","game -0.00365205454388551","committee -0.00292218934680544","tokyo -0.00229895621732934","announce -0.00206672467519409","man -0.00201497862830413","monday -0.00185536402299813","statement -0.00182133866795553","also -0.00181565048327736"
"13","hong -0.0177828961165513","kong -0.0103443376696533","market -0.00267756492217064","player -0.00255948746493684","dow -0.00243192941091275","protest -0.00194620143116253","lee -0.00194620143116253","high -0.00186819346215139","oil -0.00183909604029531","game -0.00174600396338187"
"14","stock -0.008891303199145","point -0.00461602660070848","zealand -0.00422150104494279","app -0.00385644208121239","event -0.00335073523073282","people -0.00316446466971543","dow -0.002944130260634","market -0.00292023338853686","player -0.00281105739454035","also -0.00272705823393504"
"15","border -0.00629200553905429","european -0.00587225910892875","travel -0.00542997458058248","quarantine -0.00398359379067625","stock -0.00353691875461137","measure -0.00331638043557947","event -0.00298448130181483","people -0.00282874393734711","trade -0.00240805072756967","point -0.00216013636994417"
"16","quarantine -0.0119811656179358","first -0.00386234952499964","event -0.00368840336245602","traveler -0.00325543326802258","european -0.00244045639285695","iceland -0.00225631890965206","government -0.00220415924906459","postpone -0.00189292203755542","us -0.00186735888810163","stock -0.00184250299250199"
"17","people -0.00957594316436938","ship -0.00619492928173981","test -0.00563004546996648","club -0.00429539542562363","league -0.00428746013863934","positive -0.00355344388910483","player -0.00337570424158706","time -0.00308324065295973","covid -0.00295556287810927","premier -0.00286108018769582"
"18","league -0.0105212852652573","team -0.00554739706469709","people -0.00458933890173263","european -0.00341614156735093","return -0.00304739067021687","hong -0.00245321905895601","measure -0.00244029747681074","association -0.00204899083807852","premier -0.00196861960331218","tourist -0.00196385419336687"
"19","air -0.00947205432015708","passenger -0.00757512643982916","coronavirus -0.0053653043293117","regulation -0.00223684245633982","require -0.00220641803465471","measure -0.00208483427333561","transport -0.00205179346650475","hong -0.00191234609443214","sanitizer -0.00185325206772391","kong -0.00167994479869127"
"20","festival -0.00757238239559899","quarantine -0.00450837931351489","country -0.00447554151647456","test -0.00384253789326972","measure -0.00330314824844291","passenger -0.00262564666245524","event -0.00242901243414351","european -0.00226539942672965","minister -0.00211867817812228","cancel -0.00206299281632616"
"21","airline -0.0064203106445383","country -0.00477455952935169","plan -0.00306103642694866","quarantine -0.0025094631943785","make -0.00205589453278265","race -0.00194670837952904","resume -0.00194670837952904","august -0.00170430714477099","face -0.00158743947730444","uefa -0.00151023006958884"
