"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","alone -2.22044604925031e-16","apologize -2.22044604925031e-16","attempt -2.22044604925031e-16","attention -2.22044604925031e-16","big -2.22044604925031e-16","central -2.22044604925031e-16","clear -2.22044604925031e-16","college -2.22044604925031e-16","considerably -2.22044604925031e-16","december -2.22044604925031e-16","delay -2.22044604925031e-16","east -2.22044604925031e-16","epicenter -2.22044604925031e-16","even -2.22044604925031e-16","experience -2.22044604925031e-16","feel -2.22044604925031e-16","figure -2.22044604925031e-16","get -2.22044604925031e-16","great -2.22044604925031e-16","identify -2.22044604925031e-16","illness -2.22044604925031e-16","important -2.22044604925031e-16","include -2.22044604925031e-16","increase -2.22044604925031e-16","infect -2.22044604925031e-16","january -2.22044604925031e-16","july -2.22044604925031e-16","learn -2.22044604925031e-16","leung -2.22044604925031e-16","london -2.22044604925031e-16"
"2","baby -0.00573936049740409","two -0.00417716835343351","rate -0.00214186980713638","almost -0.00174439034473783","hong -0.00115301713971738","quarantine -0.00115301713971738","month -0.00105240656209737","death -0.00104119634499622","kong -0.000910641951684665","outside -0.000910641951684665","us -0.000910641951684665","appear -0.000881326791403625","confirm -0.000878603238312459","far -0.000843699921607599","globally -0.000827194772199835","mother -0.000827194772199835","mers -0.000793821664362926","mortality -0.000720081365261804","lockdown -0.000710736533552914","young -0.000710736533552914","cruise -0.000696951103931087","passenger -0.000696951103931087","ship -0.000696951103931087","week -0.000692769573064522","unite -0.000641913459447752","animal -0.000624480799299443","new -0.000624480799299443","symptom -0.000603133479876616","novel -0.000596887561438053","say -0.000528076614543793"
"3","hong -0.00929328080173197","pipe -0.00720433281739807","build -0.00480168550561733","health -0.0047365471095796","wuhan -0.00394733377336598","two -0.00367996163771334","around -0.00324576094497486","resident -0.00302761774583549","kong -0.00256900575801555","also -0.00205373924936225","far -0.00189087099702845","system -0.00183931898242984","transmit -0.00167379299880122","report -0.00165392708859502","cruise -0.00133409491033487","month -0.00132731095000038","estimate -0.00121499584991036","can -0.00117542220734723","now -0.00101607888496658","house -0.000941809727811216","investigate -0.000941809727811216","transmission -0.000941809727811216","building -0.000941809727811216","almost -0.000899477429250894","scientist -0.00089184697112954","symptom -0.000883417091136152","numb -0.000826423157030076","show -0.000816438607371572","apartment -0.000720780828385115","market -0.000702562632624582"
"4","outbreak -0.0197674175603403","say -0.0120122772486546","quarantine -0.00954925821468655","wuhan -0.00791993055999085","spread -0.00705836211756616","iran -0.00580656101348964","qom -0.00504936831889191","suspect -0.00326913842648013","government -0.00312848466299032","study -0.00257771837073439","day -0.00241188764604205","kong -0.00230586758260254","statement -0.00208911490824526","publish -0.00207245827773539","cotton -0.00163584561445207","roll -0.00163584561445207","come -0.00144376744441621","also -0.00138217247885386","news -0.00134312701875416","theory -0.00125133044921621","conspiracy -0.00125133044921621","iranian -0.00125133044921621","rate -0.0011470580174906","originate -0.00113290636160557","hong -0.00112721145177397","announce -0.00108538988043405","multiple -0.00108538988043405","resident -0.00101979552912734","travel -0.00100419466656765","know -0.00100380209995621"
"5","iran -0.0340468244798051","italy -0.0171828452883097","wuhan -0.0158811090213002","china -0.0152935566556894","sars -0.0126323428527321","ministry -0.00283638904725292","chinese -0.00248095568194895","countrys -0.00219757027767276","agency -0.00215618537417905","kill -0.00209057697603099","ban -0.00204884902472258","minister -0.0019103210210325","travel -0.00184369247057481","italian -0.00179908241319471","irans -0.00179908241319471","border -0.00172718342602718","respiratory -0.00172124432598852","close -0.00162924598813707","region -0.00150353278325976","iraq -0.00138789178650278","northern -0.00129350827673258","kuwait -0.00129350827673258","global -0.001233756162899","hong -0.0011498860707384","animal -0.00106197562065846","scientist -0.00106197562065846","syndrome -0.00104634839815387","iranian -0.000891060598508964","symptom -0.000871891291733484","lombardy -0.000871832271511663"
"6","china -0.0115812969301848","sars -0.00520803877098852","virus -0.00268770764527571","wuhan -0.00261969919100336","hong -0.00213091589589609","ministry -0.00165384193325901","kill -0.00148111602900658","may -0.00123243733508271","czech -0.00119708853089773","minister -0.00118211158945447","kong -0.00115470917339966","syndrome -0.000919147022885203","state -0.000878911837050245","respiratory -0.000867295493907849","republic -0.000754117859194214","irans -0.000692744009547774","positive -0.000674174265457461","severe -0.000630702193619936","baby -0.000630702193619936","citizen -0.000579983351260305","global -0.000554985093502935","acute -0.000546627620805817","resident -0.000519783958937592","pipe -0.000506851009598352","first -0.0004472557044638","test -0.0004472557044638","tuesday -0.000434191683460705","nation -0.000433410130532441","build -0.00043181597614228","death -0.000414598875598027"
"7","will -0.011223926260263","iran -0.00927499666555842","virus -0.00601275117020705","outbreak -0.00596791389433371","europe -0.00366130323089331","travel -0.00347934131779015","infect -0.00185092178178337","lockdown -0.00179866444657817","sars -0.00148971340270998","spain -0.00129389422825288","restriction -0.0011800622597522","qom -0.0011455197033956","hong -0.00105552630516947","unite -0.00102245710978821","president -0.00100629768253357","apply -0.000972851681670606","trump -0.00097230874901133","us -0.000957636329336764","city -0.000892408021996083","ban -0.000880973279100861","european -0.000878175275263016","germany -0.000827949075608014","iranian -0.000784205055014753","national -0.00060653475985617","prime -0.000601313241592516","irans -0.000579929487832365","allow -0.00057694451848922","kill -0.000529053737316931","kuwait -0.000500803484788648","kong -0.000470902775897009"
"8","iran -0.0186285981591184","italy -0.00661394116944969","will -0.00610373355963167","virus -0.00542019286621442","outbreak -0.00496309747041168","case -0.00341611795335572","italian -0.00164006583595022","home -0.00138747095520497","irans -0.00127487496186141","enter -0.00119134600202353","border -0.00117132402973119","region -0.00101637081931338","start -0.000952047002715561","test -0.00094324873089191","infect -0.000871622339286282","agency -0.000851972350137675","flight -0.000844433856758808","die -0.000813464507419814","philippines -0.000777483812015034","qom -0.000736618244278064","nonessential -0.000720341532541524","essential -0.000682430883030771","northern -0.000659130669218855","midnight -0.000656812104352311","measure -0.000656333469891357","positive -0.000620377799980476","novel -0.000590334046093544","international -0.00058294497508371","local -0.000578405826157202","movement -0.00055731032396622"
"9","iran -0.012579413830341","italy -0.00851590493105703","lockdown -0.00373480179786645","virus -0.00228942986414926","service -0.00211512768030231","outbreak -0.00163403053298494","region -0.00137224590050655","india -0.00117566734626451","cuban -0.00108941175578214","curfew -0.000976696336129068","irans -0.000893506977121539","start -0.000840037904802027","new -0.000836265447838214","european -0.000819678786884603","iranian -0.000782476126629073","unite -0.00061031509009446","france -0.000527245941074894","italian -0.000487244562603517","event -0.000486612251185514","russian -0.000466381163610641","lombardy -0.000443911574187439","merkel -0.000425062914023222","australian -0.000406987756381594","australia -0.000390153875285182","europe -0.000386732611132534","essential -0.000378807906088574","news -0.0003737696214966","transport -0.000372329519528369","prime -0.000364740412793996","indias -0.000354522590337858"
"10","travel -0.00541847602179091","italy -0.00425271381063019","iran -0.00371605812607778","lockdown -0.00271009293840641","ban -0.00257565400831583","border -0.00208935572760571","migrant -0.00208205790500993","food -0.00198161874161606","home -0.00172190577704723","modi -0.00149270584656569","worker -0.00148220683539602","european -0.00101927446140426","domestic -0.000882659952449072","suspend -0.000827325444967331","april -0.000793420514186849","spain -0.000755308239264729","include -0.000695563121260956","france -0.000649581138616462","europe -0.000575927850124391","restriction -0.000558181029875482","woman -0.000533358054112698","outbreak -0.000507649512170416","leave -0.000481083079541755","ask -0.000478245479034967","indias -0.000478245479034967","agency -0.000464386313072218","city -0.000454808235589743","official -0.000449438516321732","delhi -0.000402120835965136","service -0.000401159483311098"
