"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","act -2.22044604925031e-16","add -2.22044604925031e-16","admit -2.22044604925031e-16","african -2.22044604925031e-16","airport -2.22044604925031e-16","angeles -2.22044604925031e-16","arizona -2.22044604925031e-16","arrival -2.22044604925031e-16","arwady -2.22044604925031e-16","ask -2.22044604925031e-16","assist -2.22044604925031e-16","assistance -2.22044604925031e-16","authority -2.22044604925031e-16","available -2.22044604925031e-16","avoid -2.22044604925031e-16","back -2.22044604925031e-16","bernama -2.22044604925031e-16","beyond -2.22044604925031e-16","brief -2.22044604925031e-16","bring -2.22044604925031e-16","carrier -2.22044604925031e-16","cdc -2.22044604925031e-16","center -2.22044604925031e-16","check -2.22044604925031e-16","chicago -2.22044604925031e-16","chief -2.22044604925031e-16","child -2.22044604925031e-16","cnns -2.22044604925031e-16","common -2.22044604925031e-16","context -2.22044604925031e-16"
"2","total -0.00221796460329593","one -0.00159104663323562","two -0.00110487165762918","massachusetts -0.000906020588521406","six -0.000817000681444746","lab -0.000804469734685398","th -0.00080243359514498","health -0.000770471513993343","new -0.000678252734786278","positive -0.000633192286689011","control -0.000608320154785624","bring -0.000588764270724407","novel -0.000584784544293337","south -0.000529503091928674","transmission -0.000529503091928674","monday -0.000398797415244956","employee -0.000379021501256682","discharge -0.000379021501256682","jan -0.000353424729265694","today -0.000346807598494481","include -0.000319247979792436","close -0.000312388099101835","home -0.00031126902099976","five -0.000284231316912353","stable -0.000278839284296395","first -0.000269146135322584","korean -0.000253674854581165","macao -0.000253674854581165","outbreak -0.000253674854581165","passenger -0.000253674854581165"
"3","wuhan -0.0100433579261714","one -0.00532808807725227","january -0.00200707984444859","quarantine -0.00144114696790776","novel -0.00127420433305836","public -0.000983338191110739","february -0.000920852236571346","th -0.000913317423647531","hospital -0.000887547271694045","four -0.000876144149214553","total -0.000860803540927546","first -0.000839530153374235","additional -0.000828833293158859","singapore -0.000683302968104593","hong -0.000600141958689848","result -0.000528641140134734","include -0.000527181298534019","uk -0.000516281095872428","new -0.000507231553503518","kong -0.000499566551981023","critical -0.00045560914583842","protection -0.00045560914583842","cluster -0.00045560914583842","link -0.000423753923505577","england -0.000368991038434352","texas -0.000368991038434352","history -0.000365954058461071","bring -0.000352398755351979","eight -0.000305941312820246","wisconsin -0.000286016627860985"
"4","wuhan -0.0119581648395299","novel -0.00459762391690699","january -0.00356534945359821","total -0.0028980374458567","hong -0.00279505649884393","die -0.00222904385198353","state -0.00197238628772178","public -0.00160552532002911","new -0.0012968491963653","february -0.00127516045330323","kong -0.0011481545341594","recent -0.00107019453254453","police -0.00106684960062464","officer -0.000995810711238887","singapore -0.000754786819460174","link -0.000616416725271351","country -0.000528191008133616","announce -0.000501370983270633","one -0.000481087963995153","prison -0.000472621789659455","lab -0.000469006247824866","fever -0.000438492736224538","arrive -0.000400251745815594","unite -0.000374167621799204","three -0.000372952404799953","history -0.000355505099240316","develop -0.000353847157052001","press -0.000353847157052001","japan -0.00035186009011634","positive -0.00033996981692086"
"5","wuhan -0.0107237753353102","italy -0.00317979922794476","lombardy -0.00286056249841415","region -0.00260830874020501","state -0.0024756581165738","january -0.00242308416824399","island -0.00103919791421037","positive -0.000924261858313402","italian -0.000918610106763307","die -0.00079380043702193","country -0.000748854662451448","northern -0.000601701214178352","negative -0.000601511346317585","disease -0.000535714011160704","china -0.000513611069471231","tell -0.000488124551016322","result -0.000478053052265559","diagnose -0.000449070680393793","february -0.000379911954481837","infection -0.000365950267789739","control -0.000357046960019036","unite -0.0003515936753552","local -0.000342221915849428","washington -0.000284837440787333","department -0.000280941224859221","citizen -0.000280748200166769","canary -0.000251774550964146","codogno -0.000251774550964146","center -0.000228620483218367","solano -0.000208063494685828"
"6","county -0.0108275604716379","new -0.00324857680362323","wuhan -0.00263167341132542","china -0.00182441227432595","washington -0.00100368233452963","king -0.000996711511287995","resident -0.000986744145674345","january -0.000965461886200059","york -0.000891980902326672","cuomo -0.000859219334832573","announce -0.000788819606572844","yearold -0.000715049758077235","hospital -0.000712568383460344","home -0.000662556656451763","travel -0.000611634060041943","one -0.000596547219749777","hong -0.000576493083083496","illinois -0.000545211248999311","department -0.000436291837043745","presumptive -0.000411518564206403","singapore -0.000391961653549933","disease -0.000318878319350624","death -0.00031499429390236","report -0.000303403305262573","kong -0.000282376633481851","th -0.00026611051602643","iran -0.000258114336759596","gov -0.000248878150421405","friday -0.000234254584852045","kirkland -0.000225731405546603"
"7","state -0.0031523966833088","test -0.00214494645793861","identify -0.00109541813675129","presumptive -0.00093272384261911","say -0.00087392064227132","travel -0.000841969207347693","washington -0.000589980456499273","king -0.000546505727057833","death -0.000515578402396577","march -0.000473769330092466","condition -0.000340055273707618","cuomo -0.000337197010754409","three -0.000334923439607171","worker -0.000332842501744257","person -0.00028296487360735","release -0.000242516150957606","iran -0.000237161951733289","bring -0.000233112970980387","saturday -0.000229872335164694","currently -0.000228152033180162","add -0.000217565511347884","dr -0.000170480232666526","center -0.000162506270479867","kirkland -0.000160738839927066","statement -0.000158912451953763","people -0.000157582899959152","official -0.000149619846293136","gov -0.000135693694895966","quarantine -0.000130922403806188","will -0.000126718601243248"
"8","death -0.00773470516149877","die -0.00297713730879423","march -0.00222068128050501","test -0.00150307986100173","travel -0.00148403632611649","report -0.00115511118257872","presumptive -0.000883586156678939","washington -0.000724643165639804","return -0.000519755936083777","first -0.000514698559063054","member -0.000508668143691438","recently -0.00048362544313052","two -0.000480853388102775","orleans -0.000397868503934751","covid -0.000376048313989297","wednesday -0.000307896900955784","will -0.000288495157167556","coronavirusrelated -0.000287231537261734","identify -0.000282072634226194","home -0.000278287504564378","family -0.000266732331961617","last -0.000244507656890214","contact -0.00023071862271995","early -0.000218879637253311","president -0.000213485934923541","king -0.000213015810512918","arrest -0.000210379481684897","additional -0.000202868384541977","large -0.000201068046692399","individual -0.000199173693789856"
"9","test -0.00496604115448041","death -0.00449044740813898","county -0.00448753201227714","covid -0.00396424078557467","less -0.00330319157384307","travel -0.00325181084554116","bring -0.00160339069422355","prison -0.00125951036595318","inmate -0.00104578410741329","two -0.00100696849982851","contact -0.00089883481136932","total -0.000894337801371714","woman -0.000816127573703529","presumptive -0.000803902558662806","novel -0.000745330621968021","return -0.000734307893352715","york -0.000728067314288983","recently -0.000617665846644688","identify -0.000582042527203508","resident -0.000507928231932686","orleans -0.000503434576053619","die -0.000370285619316291","tuesday -0.000364302331079647","los -0.000337974680143405","people -0.000336380527653612","doctor -0.000322673650046013","due -0.000314965973873815","employee -0.000314965973873815","king -0.00031263446717722","tell -0.000301422114100003"
"10","people -0.0023345014199011","department -0.00227669900037164","member -0.00139881811512566","hospitalize -0.00134985981637448","confirm -0.00120617607990725","man -0.00114318321970885","ministry -0.00108143517673065","nypd -0.000906736171977007","numb -0.000784773182593734","angeles -0.000692807196015499","yearold -0.000654188305830306","additional -0.000578817200729831","accord -0.000557118247134669","ferrer -0.00054820519616916","country -0.000451202689420449","officer -0.000419278460091377","police -0.000414238378016241","worker -0.000366365584732908","official -0.000364238300976871","first -0.000323514365030197","los -0.000292739018218025","tuesday -0.000284076881472139","uniform -0.000279576426610695","now -0.000273763898915313","press -0.000247756106655728","washington -0.000233300728201158","healthcare -0.000226437662698475","newsom -0.000226437662698475","countrys -0.000201811892416193","increase -0.000195753674297583"
