"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","aircraft -2.22044604925031e-16","airway -2.22044604925031e-16","also -2.22044604925031e-16","always -2.22044604925031e-16","april -2.22044604925031e-16","ask -2.22044604925031e-16","association -2.22044604925031e-16","atlanta -2.22044604925031e-16","beijing -2.22044604925031e-16","bill -2.22044604925031e-16","british -2.22044604925031e-16","california -2.22044604925031e-16","canada -2.22044604925031e-16","cancellation -2.22044604925031e-16","cdc -2.22044604925031e-16","charter -2.22044604925031e-16","chief -2.22044604925031e-16","citizen -2.22044604925031e-16","closure -2.22044604925031e-16","coast -2.22044604925031e-16","completely -2.22044604925031e-16","connect -2.22044604925031e-16","consulate -2.22044604925031e-16","contain -2.22044604925031e-16","contract -2.22044604925031e-16","coordinate -2.22044604925031e-16","country -2.22044604925031e-16","decide -2.22044604925031e-16","effective -2.22044604925031e-16","entirely -2.22044604925031e-16"
"2","suspend -0.00354185293445142","traveler -0.00302486972274063","two -0.00261233762230673","march -0.0024693441184519","monitor -0.00237148940755905","air -0.00235375912091607","international -0.00167895805012275","february -0.00151648732505638","one -0.0012429063775149","day -0.00110830077919111","force -0.00110309170239697","authority -0.0010305829899","stop -0.000946348298697997","people -0.000832069949270875","restriction -0.000832069949270875","travis -0.000832069949270875","risk -0.000824287207037977","last -0.000813433744773939","alaska -0.000773687142308299","stay -0.000713582183239692","may -0.000708835547603037","include -0.000697931538279017","route -0.000680432310948609","base -0.000602515344670929","time -0.000595505068608837","evacuation -0.000593932958332877","first -0.000590311024921908","situation -0.000568589931051133","letter -0.000568226525000104","ontario -0.000568226525000104"
"3","airport -0.00987286407098253","miramar -0.00535217160443469","health -0.00327773942475451","day -0.00267162151558742","suspension -0.00213120171249559","plane -0.0021079294992985","quarantine -0.00196374633729268","cut -0.00172637792170449","group -0.00167336312957733","diego -0.00167336312957733","kong -0.00162230040934741","hong -0.0015203954628451","outbreak -0.00149065691510164","ask -0.00142066236934457","evacuee -0.00142066236934457","base -0.0013909171894364","station -0.00135277465203476","expect -0.00118373899490387","passenger -0.00116173664335295","screen -0.00107623957328007","tuesday -0.00103782599725355","traveler -0.00100797948978215","leave -0.00095568250197331","april -0.000954553314924778","corp -0.000954553314924778","travel -0.000938559571936115","citizen -0.000913719212328634","diplomat -0.000913719212328634","monitor -0.000913719212328634","san -0.000895847636906533"
"4","diamond -0.0190373339723939","china -0.0183239668518373","ship -0.0175291701483423","princess -0.00974342563702124","airline -0.00933425847385516","cruise -0.00686022255038299","quarantine -0.00540280961771877","suspend -0.00516717142967593","wuhan -0.0046779532539637","evacuate -0.00373584209725586","japan -0.00355016441511058","government -0.00309956956254054","charter -0.00301075693190878","board -0.00273103688827003","tokyo -0.00247682209757005","official -0.00242350986955298","positive -0.00227681053049378","test -0.00215802301090906","international -0.00202157114525958","travel -0.00194605708326789","march -0.00185460544146976","back -0.00152215526546695","outbreak -0.00100222868829325","another -0.000982466383300684","mainland -0.000783991354640134","sunday -0.000635445069449236","evacuee -0.000613567413110805","virus -0.000613567413110805","facility -0.00059687568440725","email -0.00059687568440725"
"5","china -0.0168078852765969","case -0.00763128107279665","time -0.00620365843092285","foreign -0.00417088689376754","official -0.00282000798575655","south -0.00226613139694409","test -0.00216481830587856","patient -0.00216043578490288","department -0.00215013210767512","april -0.00209703127257532","korea -0.00143751957331029","contact -0.00134828744181537","indian -0.00108068726961819","wuhan -0.00102475322330053","accord -0.00101984383815468","medical -0.000976722259658946","charter -0.000954957146814817","help -0.00091561678502694","expect -0.000897033406487058","mainland -0.000897033406487058","temperature -0.000870494165367219","daily -0.000862532356306067","jaishankar -0.000793553048971329","virus -0.000781034181887241","epicenter -0.000776058686141834","japan -0.000728325584074763","numb -0.000654851934854261","hospital -0.000563706456244262","report -0.000563706456244262","repatriate -0.000550831233471438"
"6","school -0.040408745329935","us -0.0228291100926561","employee -0.0119930582087203","close -0.00702450981653602","china -0.00410309296621969","diamond -0.00378275990973032","base -0.00354531143155135","ship -0.00312542915154546","air -0.00299190855516107","american -0.00271066494013883","work -0.00257552978898634","district -0.00245831630747129","student -0.00227866194806925","seattle -0.00210592526710229","princess -0.00197967555000955","citizen -0.00184098181122261","wuhan -0.00172624915867625","washington -0.00167675753603447","california -0.00157885229875465","cruise -0.00151649176535207","plane -0.00141733535503197","passenger -0.00129618220480254","italy -0.00125285996432478","evacuate -0.00111465246594389","quarantine -0.000985024537007995","high -0.000953418577996801","clean -0.000790645156425573","land -0.00073981399963241","charter -0.000731742278368031","san -0.000711392704206726"
"7","us -0.0213828498230149","flight -0.0116918457438501","passenger -0.00564350168135974","diamond -0.00529140598852795","american -0.00506495635857085","school -0.00489777365263266","ship -0.00397286704903976","new -0.00326212272441817","public -0.00284191158679403","evacuate -0.00275984043889632","princess -0.00258644123603746","japan -0.00243894469027772","china -0.00233379757335928","quarantine -0.00232848784922324","york -0.00222621900693487","base -0.00196083063850039","class -0.00183575743242936","closure -0.00182840733147915","air -0.00173311850979696","unite -0.0015309036442489","cruise -0.00139383885658684","charter -0.00137922958003567","gov -0.00129323993770369","citizen -0.00122259333361108","government -0.00121098975245804","university -0.00117056249575231","student -0.000986887673774972","district -0.000859840496135411","hong -0.000811203639190516","arrive -0.000736043173727108"
"8","order -0.023729720500627","flight -0.0130316202928716","restaurant -0.00582484040409492","us -0.00549793665724274","passenger -0.00330100355964336","gov -0.00281966045880122","airline -0.00272442187475641","quarantine -0.00219839944095213","diamond -0.0021924287460906","ship -0.00194395307119632","bar -0.00189384597253883","store -0.00188976562199727","american -0.001641362738658","delivery -0.00147745523275478","food -0.00143357601272232","essential -0.00131580049606983","city -0.00120707160447964","district -0.00117525782684103","university -0.001119473653863","princess -0.00110065808668858","employee -0.00109643952297012","positive -0.00108260204272714","test -0.00107568076180453","japan -0.00105774168236761","mayor -0.000972409005710939","base -0.000970796454659473","evacuate -0.000954032107927438","governor -0.000936773872346253","cuomo -0.000929603910320598","cruise -0.000920657318653095"
"9","order -0.0242781350752515","school -0.0151790740888159","flight -0.00419577538703453","issue -0.00289132089630961","statement -0.0021780628056618","stay -0.00201060757845906","airline -0.00145913590531865","mayor -0.00129587066208336","employee -0.0012859469262223","district -0.0012529440423541","stayhome -0.00118857958833174","airport -0.00108846808121799","cancel -0.00106113532939467","test -0.000946669888608698","march -0.00090145914346218","city -0.000870299813579667","business -0.000771272223768049","effect -0.000601768030326633","us -0.000547327933632991","distance -0.000540056121972277","resident -0.000490353103032581","nonessential -0.000459976654874628","news -0.000450288094932083","university -0.000448027739298196","effective -0.0004478207738704","passenger -0.000447571160530735","international -0.000443211143147937","company -0.000427691006103625","screen -0.000425881446132537","suspend -0.000409980086991557"
"10","order -0.0129751363884665","school -0.00869504008242006","stayhome -0.00526776390601502","statement -0.00320682586974685","state -0.00275165179394132","employee -0.00223799280047765","student -0.00188941229730089","flight -0.00186524754166018","march -0.00140877575243892","work -0.00140020527954099","restaurant -0.00126507213605997","coronavirus -0.00124116747400016","florida -0.000967084832547149","church -0.000832566609018981","cancel -0.000772546823634923","airline -0.000743493308740462","jersey -0.000675402364947897","district -0.000597210656420599","university -0.000585780315324302","company -0.00058174928944188","airport -0.000559012503542733","closure -0.000555996047569729","test -0.000550329422524864","governor -0.000514401190409131","essential -0.000492124117627113","quarantine -0.000428375815339388","start -0.000427387676779634","outbreak -0.000370868370982769","covid -0.000358904162130469","cuomo -0.000338059297128601"
