"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,0.601237816171668,0.563175108711898,0.326967796675765,0.489201892759066,0.562226892676667,0.518384165004765,0.517398938918278,0.529959149685434,0.597538141832834,0.472713575801079,0.373196539109399
"2",0.601237816171668,1,0.577919737785104,0.451625607615515,0.569544767495279,0.621411613906895,0.59657223538642,0.642378124283348,0.556833723140615,0.63412824812262,0.606536607794777,0.577357133583612
"3",0.563175108711898,0.577919737785104,1,0.428295742640588,0.517399728554418,0.655463978854477,0.717060834978047,0.594641390223472,0.641335203512337,0.719356359267284,0.615278641397663,0.438384760752834
"4",0.326967796675765,0.451625607615515,0.428295742640588,1,0.397683965894367,0.457254178962991,0.589689611423265,0.340094643926658,0.349812215896807,0.395888849094208,0.340298249784539,0.664948823175844
"5",0.489201892759066,0.569544767495279,0.517399728554418,0.397683965894367,1,0.550435703896552,0.477622818827035,0.593640578776584,0.502084206772013,0.533537635350285,0.49106964430862,0.461701302076098
"6",0.562226892676667,0.621411613906895,0.655463978854477,0.457254178962991,0.550435703896552,1,0.608720124867167,0.576015296996038,0.710056444250109,0.715736564815413,0.573345605929413,0.470033718980279
"7",0.518384165004765,0.59657223538642,0.717060834978047,0.589689611423265,0.477622818827035,0.608720124867167,1,0.50236718920375,0.535598449229501,0.675699312179931,0.637038839834233,0.655831229370486
"8",0.517398938918278,0.642378124283348,0.594641390223472,0.340094643926658,0.593640578776584,0.576015296996038,0.50236718920375,1,0.595750748535957,0.603800665700475,0.578739926663214,0.385461500880003
"9",0.529959149685434,0.556833723140615,0.641335203512337,0.349812215896807,0.502084206772013,0.710056444250108,0.535598449229501,0.595750748535957,1,0.638696123032304,0.569562895114468,0.350547507130987
"10",0.597538141832834,0.634128248122619,0.719356359267284,0.395888849094208,0.533537635350285,0.715736564815413,0.675699312179931,0.603800665700475,0.638696123032304,1,0.604277784795269,0.426213477780641
"11",0.472713575801079,0.606536607794777,0.615278641397663,0.340298249784539,0.49106964430862,0.573345605929413,0.637038839834233,0.578739926663214,0.569562895114468,0.604277784795269,1,0.354779343675751
"12",0.373196539109399,0.577357133583612,0.438384760752834,0.664948823175843,0.461701302076098,0.470033718980279,0.655831229370486,0.385461500880003,0.350547507130987,0.426213477780641,0.354779343675751,1
